bin,n,positives,mean_prediction,observed_frequency,min_prediction,max_prediction,origin_minutes,model
0,58,5,0.02318706208589996,0.08620689655172414,0.022099447513812154,0.03111111111111111,30,LOPO prevalence baseline
1,78,3,0.033195854065419285,0.038461538461538464,0.031746031746031744,0.035,30,LOPO prevalence baseline
2,44,0,0.03842345018815607,0.0,0.037037037037037035,0.0392156862745098,30,LOPO prevalence baseline
3,52,0,0.044444444444444446,0.0,0.044444444444444446,0.044444444444444446,30,LOPO prevalence baseline
0,58,1,0.012120803105264333,0.017241379310344827,0.0017397503274692785,0.019435176314523208,30,Direct same-X
1,58,2,0.026151837980994696,0.034482758620689655,0.019640672299616045,0.03390643227681008,30,Direct same-X
2,58,3,0.04515984306335912,0.05172413793103448,0.034159388119665075,0.05962437478974566,30,Direct same-X
3,58,2,0.18019791609659883,0.034482758620689655,0.05964371041613772,0.552117269422546,30,Direct same-X
0,58,1,0.004464275680438346,0.017241379310344827,0.00027433331891603917,0.009179066098036443,30,Hierarchical same-X
1,58,1,0.01888899130505471,0.017241379310344827,0.00925786752606847,0.02786165023896419,30,Hierarchical same-X
2,58,2,0.04031607173168322,0.034482758620689655,0.027922475959847773,0.05820215508473262,30,Hierarchical same-X
3,58,4,0.1428236937704718,0.06896551724137931,0.06019390081936153,0.5507492799511479,30,Hierarchical same-X
0,64,5,0.021052631578947368,0.078125,0.021052631578947368,0.021052631578947368,45,LOPO prevalence baseline
1,94,4,0.03493061409873985,0.0425531914893617,0.032520325203252036,0.03669724770642202,45,LOPO prevalence baseline
2,52,0,0.04093315350749505,0.0,0.0371900826446281,0.04205607476635514,45,LOPO prevalence baseline
3,44,0,0.04285714285714286,0.0,0.04285714285714286,0.04285714285714286,45,LOPO prevalence baseline
0,64,1,0.011445988961128514,0.015625,0.0017025283143756093,0.01879703050260207,45,Direct same-X
1,63,2,0.02822966095726009,0.031746031746031744,0.019210149843277048,0.0434388200682336,45,Direct same-X
2,63,3,0.06164075093274228,0.047619047619047616,0.04437068019229196,0.08095349650942171,45,Direct same-X
3,64,3,0.1731647319320864,0.046875,0.08271282068280589,0.4143711339343918,45,Direct same-X
0,64,1,0.0037964993898948903,0.015625,0.0003132158297721248,0.009733432261907265,45,Hierarchical same-X
1,63,1,0.019447261073077583,0.015873015873015872,0.00973940183983052,0.0319581456030311,45,Hierarchical same-X
2,63,3,0.05437854256707884,0.047619047619047616,0.032953820292986664,0.07873642510473554,45,Hierarchical same-X
3,64,4,0.13288317801255756,0.0625,0.07940826903216558,0.3399377326851348,45,Hierarchical same-X
