period_id,origin_minutes,all_grid_rows,both_eligible_rows,future_storm_cells,hail_cells_all_grid,hail_cells_both_eligible,hail_cells_excluded_by_coverage,H1S1,H1S0,hail_capture_if_eligible
active_20240418,30,168,52,31,1,0,1,0,0,
active_20240418,45,168,48,28,3,2,1,2,0,1.0
active_20240508,30,168,43,28,2,2,0,2,0,1.0
active_20240508,45,168,44,29,1,0,1,0,0,
active_20240526,30,168,51,34,5,4,1,4,0,1.0
active_20240526,45,168,64,39,5,5,0,5,0,1.0
expand_active_20240210_07,30,168,2,2,0,0,0,0,0,
expand_active_20240210_07,45,168,1,1,0,0,0,0,0,
expand_active_20240502_21,30,168,28,21,1,0,1,0,0,
expand_active_20240502_21,45,168,40,24,1,0,1,0,0,
expand_active_20240520_01,30,168,1,1,1,0,1,0,0,
expand_active_20240520_01,45,168,1,1,1,0,1,0,0,
expand_active_20240523_10,30,168,16,13,0,0,0,0,0,
expand_active_20240523_10,45,168,12,7,0,0,0,0,0,
expand_active_20240609_07,30,168,7,3,1,1,0,1,0,1.0
expand_active_20240609_07,45,168,8,3,1,1,0,1,0,1.0
expand_active_20240613_23,30,168,32,15,1,1,0,1,0,1.0
expand_active_20240613_23,45,168,36,17,1,1,0,1,0,1.0
