origin_minutes,model,n,positives,prevalence,pr_auc,roc_auc,brier,log_loss
30,Prevalence-baseline product,232,8,0.034482758620689655,0.025290717577157555,0.22516741071428573,0.033834311288474146,0.15876105188729897
30,Direct same-X,232,8,0.034482758620689655,0.04853242889225305,0.5848214285714286,0.04430779349424601,0.18217765599719835
30,Stage-1-only hierarchy,232,8,0.034482758620689655,0.03654017670073892,0.49386160714285715,0.0339419665402533,0.1576333767330056
30,Stage-2-only hierarchy,232,8,0.034482758620689655,0.05466842112696593,0.6294642857142857,0.03787477701912821,0.16294692046402978
30,Full hierarchy,232,8,0.034482758620689655,0.0592598156726308,0.66015625,0.03928944173066834,0.1646250466790424
45,Prevalence-baseline product,254,9,0.03543307086614173,0.026528975161382952,0.23560090702947847,0.03475016072174242,0.16282422336227395
45,Direct same-X,254,9,0.03543307086614173,0.051851423172947844,0.5977324263038548,0.040872483306174295,0.17334407197040358
45,Stage-1-only hierarchy,254,9,0.03543307086614173,0.04063286674867504,0.5546485260770975,0.034260269524889704,0.15026992920555188
45,Stage-2-only hierarchy,254,9,0.03543307086614173,0.05193986511115438,0.5941043083900226,0.039059817438848426,0.170468411236753
45,Full hierarchy,254,9,0.03543307086614173,0.09306368719714704,0.6829931972789116,0.035246491828602004,0.15272786742542177
