origin_minutes,test_period,train_rows,test_rows,train_hail_pos,test_hail_pos,train_storm_pos,test_storm_pos,stage2_train_rows,stage2_train_hail_pos,stage2_train_hail_neg,direct_two_classes,stage1_two_classes,stage2_two_classes,fit_feasible
30,active_20240418,180,52,8,0,117,31,117,8,109,True,True,True,True
30,active_20240508,189,43,6,2,120,28,120,6,114,True,True,True,True
30,active_20240526,181,51,4,4,114,34,114,4,110,True,True,True,True
30,expand_active_20240210_07,230,2,8,0,146,2,146,8,138,True,True,True,True
30,expand_active_20240502_21,204,28,8,0,127,21,127,8,119,True,True,True,True
30,expand_active_20240520_01,231,1,8,0,147,1,147,8,139,True,True,True,True
30,expand_active_20240523_10,216,16,8,0,135,13,135,8,127,True,True,True,True
30,expand_active_20240609_07,225,7,7,1,145,3,145,7,138,True,True,True,True
30,expand_active_20240613_23,200,32,7,1,133,15,133,7,126,True,True,True,True
45,active_20240418,206,48,7,2,121,28,121,7,114,True,True,True,True
45,active_20240508,210,44,9,0,120,29,120,9,111,True,True,True,True
45,active_20240526,190,64,4,5,110,39,110,4,106,True,True,True,True
45,expand_active_20240210_07,253,1,9,0,148,1,148,9,139,True,True,True,True
45,expand_active_20240502_21,214,40,9,0,125,24,125,9,116,True,True,True,True
45,expand_active_20240520_01,253,1,9,0,148,1,148,9,139,True,True,True,True
45,expand_active_20240523_10,242,12,9,0,142,7,142,9,133,True,True,True,True
45,expand_active_20240609_07,246,8,8,1,146,3,146,8,138,True,True,True,True
45,expand_active_20240613_23,218,36,8,1,132,17,132,8,124,True,True,True,True
