period_id,origin_minutes,rows,storm_positives,hail_positives
active_20240418,30,52,31,0
active_20240418,45,48,28,2
active_20240508,30,43,28,2
active_20240508,45,44,29,0
active_20240526,30,51,34,4
active_20240526,45,64,39,5
expand_active_20240210_07,30,2,2,0
expand_active_20240210_07,45,1,1,0
expand_active_20240502_21,30,28,21,0
expand_active_20240502_21,45,40,24,0
expand_active_20240520_01,30,1,1,0
expand_active_20240520_01,45,1,1,0
expand_active_20240523_10,30,16,13,0
expand_active_20240523_10,45,12,7,0
expand_active_20240609_07,30,7,3,1
expand_active_20240609_07,45,8,3,1
expand_active_20240613_23,30,32,15,1
expand_active_20240613_23,45,36,17,1
