period_id,panel_group,origin_minutes,period_start_utc,t0,target_end,grid_lat,grid_lon,pre_coverage_fraction,pre_coverage_eligible,future_coverage_fraction,future_coverage_eligible,both_coverage_eligible,cape,t2m,d2m,t_500,shear_850_500,shear_850_300,pre_cmax_dbz,pre_n_area5,pre_n_area10,future_storm,future_hail
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.375,-91.125,1.0,True,0.8666666666666667,True,True,93.75,283.02734375,281.6025390625,260.272216796875,27.68225912828926,29.336422324892705,53.0,14,13,0,0
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.375,-90.875,1.0,True,1.0,True,True,55.125,284.302734375,281.9599609375,260.484130859375,26.525846283831594,28.614697822866916,53.5,15,15,1,0
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.375,-90.625,1.0,True,1.0,True,True,18.5,286.224609375,282.8408203125,260.549560546875,24.91383705035005,28.160699252210748,53.5,15,14,1,0
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.375,-90.375,1.0,True,1.0,True,True,22.875,288.0546875,283.4560546875,260.442138671875,22.969098737342502,27.59679800771188,46.5,15,15,1,0
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.375,-89.375,1.0,True,0.8666666666666667,True,True,4.0,292.435546875,286.0791015625,259.494873046875,18.14319912373135,26.90730524893118,33.5,0,0,1,0
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.375,-89.125,1.0,True,1.0,True,True,1.5,292.720703125,285.9755859375,259.210693359375,18.563740547678833,26.601261579378047,20.0,0,0,1,0
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.375,-88.875,1.0,True,1.0,True,True,0.0,293.05078125,285.5087890625,258.905029296875,18.673612534640593,25.909229272536546,17.5,0,0,0,0
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.375,-88.625,1.0,True,1.0,True,True,0.0,293.267578125,284.9677734375,258.620849609375,18.45134694415351,25.15988240367725,15.0,0,0,0,0
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.125,-91.875,0.8,True,0.8666666666666667,True,True,243.125,281.771484375,281.4990234375,259.493896484375,29.487584321064023,31.60863509816083,37.5,0,0,0,0
active_20240418,primary,30,2024-04-18 22:00:00,2024-04-18 22:30:00,2024-04-18 23:00:00,40.125,-91.625,0.9333333333333333,True,0.8666666666666667,True,True,187.625,282.359375,281.8330078125,259.770263671875,28.580190161687813,30.026712150849704,47.5,6,5,0,0
